PC,O,H,L,C
"2,280.25","2,290.00","2,316.20","2,260.75","2,266.80"
499.85,498.75,504.45,496.65,499
570.45,571,577.5,565.6,570.1
897.85,889.9,900,870,890
800.8,803,812,792.1,800
"1,509.75","1,555.05","1,572.40","1,543.20","1,548.50"
451.2,454.5,459.5,447.85,457
"1,826.20","1,829.80","1,849.90","1,810.00","1,820.85"
451.5,455.65,460.65,450.2,458.85
"1,721.35","1,729.90","1,748.85","1,715.45","1,723.00"
171.8,174,175.9,164.65,166.5
"12,573.40","12,670.00","12,807.95","12,614.00","12,699.00"
"1,313.25","1,313.25","1,327.50","1,304.65","1,316.00"
"1,701.60","1,707.80","1,726.20","1,703.80","Jan 29, 2018 -"
485.05,486.15,491.35,483,484.95
"2,078.80","2,075.85","2,098.00","2,028.25","2,065.00"
"1,035.45","1,041.90","1,053.00","1,022.70","1,026.50"
"4,548.45","4,502.20","4,549.85","4,422.05","4,422.35"
"2,062.40","2,059.00","2,080.75","2,032.30","2,063.45"
919.6,910.6,920.15,901.15,905
549,551,556.75,538.1,550.2
936.8,940,949.8,933.15,940.1
158.9,158.8,160.45,158.25,159.8
340.15,366,369.8,339.85,361.55
439.35,448.3,452.95,433.1,437.4
"1,299.75","1,303.00","1,316.45","1,288.45","1,298.40"
763.3,761.1,768.95,752,753.95
154.75,155.4,157,151.85,153.35
"1,846.15","1,850.00","1,869.00","1,830.00","1,848.00"
390.65,390.8,394.8,385.35,386
267.1,268.7,271.45,256.45,266
"23,017.65","23,065.00","23,300.00","22,837.95","22,968.00"
"1,473.25","1,487.00","1,502.15","1,445.85","1,475.00"
"1,627.20","1,630.00","1,646.60","1,614.00","1,620.50"
469.3,467,471.75,464.3,466
205.7,206.9,209,201.95,204.45
"1,586.50","1,590.00","1,606.00","1,575.20","1,591.30"
"1,364.50","1,364.50","1,378.20","1,361.50","1,369.50"
"1,560.25","1,559.95","1,575.50","1,556.10","1,575.10"
297.85,297.05,300,293.5,297
"1,710.30","1,714.00","1,731.00","1,704.60","1,719.80"
"1,629.65","1,629.55","1,645.60","1,609.00","1,625.00"
"1,162.80","1,153.55","1,164.80","1,150.10","1,163.95"
62.05,62,62.6,60.5,60.9
"14,524.40","14,560.00","14,700.00","14,226.85","14,574.00"
166.25,167.2,168.8,161,162
358.05,361.2,364.65,358.05,359
933.05,939.9,948.8,921.9,928.75
"1,145.70","1,151.80","1,162.70","1,137.65","1,143.35"
516.9,518,522.85,502.25,507.85
530.1,525,529.9,524.2,528
"1,763.60","1,763.55","1,779.95","1,740.10","1,740.10"
"1,400.20","1,392.00","1,404.90","1,357.25","1,397.00"
936.55,940,948.7,936.1,938.65
417.25,417,420.85,415.2,418
"1,380.80","1,405.00","1,417.90","1,385.00","1,392.50"
306.85,305.05,307.85,304.5,307
653.3,653,658.95,624,628.15
"12,578.95","12,635.00","12,749.95","12,351.60","12,400.00"
"1,581.20","1,589.95","1,604.40","1,570.05","1,578.00"
"1,470.85","1,472.65","1,486.00","1,455.40","1,460.05"
"4,399.40","4,410.05","4,450.00","4,301.15","4,301.15"
506.15,508.4,513,503.2,505
"22,180.20","22,300.00","22,500.00","21,727.50","21,900.00"
660.5,663.8,669.7,638,661.8
551.55,552,556.9,542.35,545.15
203.6,203.8,205.6,200.1,200.15
"1,546.50","1,551.15","1,564.80","1,551.00","1,562.00"
"1,474.25","1,481.00","1,493.90","1,465.70","1,487.00"
403.5,402.95,406.45,397.85,399.2
"8,992.90","8,992.90","9,070.95","8,901.40","8,962.10"
692.25,695,701,686.5,691.6
317.4,318.75,321.5,309,309.5
"1,592.25","1,591.30","1,605.00","1,580.00","1,588.00"
348.3,349,352,335,342
128.25,128.6,129.7,126.6,128.6
"2,069.30","2,080.00","2,097.70","1,980.00","2,004.00"
"1,638.55","1,636.00","1,649.90","1,617.00","1,645.00"
935.85,943,951,933,949.65
"2,091.00","2,100.00","2,117.80","2,056.00","2,070.00"
"23,473.60","23,500.00","23,699.00","22,959.90","23,044.65"
94.05,94.7,95.5,92.55,94.6
417.05,410,413.45,397.2,401.95
"1,157.25","1,159.00","1,168.75","1,135.00","1,150.00"
505.1,506.4,510.65,501.55,503.3
"1,686.00","1,687.10","1,701.20","1,677.20","1,684.00"
567.1,562.65,567.35,538,541.35
"1,818.75","1,824.80","1,840.00","1,817.00","1,837.20"
713,715.5,721.45,710.5,712.15
468.8,470,473.9,462.4,463.75
360.75,361.7,364.7,359.25,359.25
"6,951.35","6,941.00","6,998.45","6,860.00","6,913.00"
"1,348.10","1,344.60","1,355.70","1,334.00","1,336.80"
"1,105.90","1,105.90","1,115.00","1,095.00","1,099.00"
496.45,498.45,502.55,495,498
"1,164.05","1,165.75","1,175.25","1,158.00","1,163.80"
"12,696.85","12,740.00","12,843.75","12,500.00","12,580.10"
498.35,497.95,502,489.85,494.3
557.55,560,564.55,551,557
371.1,370,373,369.1,370
432.35,433.5,437,426.4,435.55
"1,465.65","1,475.00","1,486.90","1,454.45","1,456.20"
"1,002.85","1,004.90","1,013.00",996,999
249.3,249.3,251.3,246.7,250.7
"1,521.60","1,530.00","1,542.15","1,462.15","1,468.00"
"1,160.20","1,159.80","1,169.00","1,156.50","1,168.00"
380.75,383.4,386.4,376,378.5
"14,179.45","14,190.00","14,300.95","14,102.00","14,150.00"
371.6,374.1,377,363.1,370.95
329.15,331,333.55,325.6,329
32.6,32.55,32.8,32.05,32.05
360.85,360,362.75,358.4,360.05
"6,946.95","6,946.95","7,000.00","6,908.00","6,916.00"
"1,378.65","1,378.50","1,389.00","1,371.10","1,384.40"
"1,360.80","1,368.00","1,378.40","1,329.00","1,341.00"
365,369,371.8,359.25,360.3
32.9,33,33.25,32,32.1
205.5,204.75,206.3,200.1,202
"2,057.70","2,059.80","2,075.35","2,038.00","2,059.30"
"8,846.05","8,846.50","8,912.90","8,745.90","8,858.95"
301.75,300.25,302.5,297,298.05
"2,272.50","2,273.00","2,290.00","2,161.05","2,165.00"
93,93.7,94.4,84.8,85.75
"1,335.50","1,344.00","1,354.00","1,327.20","1,350.20"
"8,842.85","8,842.00","8,907.50","8,753.45","8,830.65"
"1,121.40","1,121.40","1,129.70","1,093.95","1,110.00"
"1,747.70","1,750.50","1,763.45","1,720.45","1,729.00"
"1,569.85","1,572.65","1,584.15","1,563.95","1,582.00"
